,Consumption (Trillion Btu),,,,,Prices (Dollars per Million Btu),,,,,Expenditures (Million Dollars),,,,
State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
Alabama,344.1,263.4,813.4,512.6,1933.6,30.04,25.85,7.23,16.04,14.77,4370.3,3061.8,3980.8,7877.6,19290.5
Alaska,46,58.5,328.9,166.5,600,21.63,19.39,18.96,14.39,16.61,711.1,779.6,747.4,2389.7,4627.7
Arizona,390.3,348.2,241.2,490.8,1470.6,30.33,24.19,13.89,18.42,20.7,4742.5,3623,1925.4,8762.5,19053.4
Arkansas,215,175.7,380.6,285.2,1056.5,22.93,14.94,9.09,16.36,14.56,2155.8,1423.7,2194.1,4529.1,10302.7
California,1384.4,1477.2,1853.1,3115.6,7830.3,27.46,28.61,12.84,18.42,19.9,20940.4,21166.6,13862.3,56880.3,112849.7
Colorado,344,289.5,434.6,416.4,1484.6,16.49,17.89,11.83,16.4,15.75,3416.4,2536.6,2183.7,6690.6,14827.2
Connectiut,225.5,189.6,79.3,229.5,723.9,28.08,23.97,15.66,18.45,21.92,4085.4,2687.2,868.8,4132.6,11773.9
Delaware,60.7,56.4,87.6,68.8,273.5,27.3,19.14,11.66,18.11,18.51,851.8,592.7,453.3,1227.6,3125.4
DC,39.2,108,5.8,21.2,174.2,21.11,25.03,12.79,19.28,22.36,433.6,1150.1,56.2,342.6,1982.4
Florida,1214.4,1015.1,492.3,1518.4,4240.2,31.58,22.35,9.47,16.29,18.78,14088.9,10005.9,3645.4,24415.2,52155.4
Georgia,714.2,556.8,772.6,795.4,2838.9,26.19,22.56,7.87,16.42,16.5,8601,5457.2,4181,12926.4,31165.7
Hawaii,32.7,41.5,62.5,146.2,282.9,74.87,42.77,37.45,17.08,25.09,768.3,901.3,871.7,2496.5,5037.8
Idaho,114.2,87.9,168.3,158,528.5,18.75,15.13,10.35,18.13,15.56,1105.9,692.6,1111.4,2758.7,5668.6
Illinois,927.9,798.8,1174.3,1006.1,3907.1,15.76,15.43,9.72,16.49,14.57,9111.4,6456.2,5842.2,16116.8,37526.6
Indiana,521.7,369,1279.3,632.3,2802.3,19.93,17.43,8.43,16.56,13.67,5123.7,3135.4,6556.8,10308.7,25124.6
Iowa,227.3,192.5,793.7,316.3,1529.8,18.18,14.38,8.05,17.05,12.89,2363.1,1560,3530.7,5232.7,12686.5
Kansas,213,217.2,386.9,275.9,1093,21.89,21.11,9.17,16.8,16.02,2395,2052.6,1787.4,4295,10530.1
Kentucky,356.3,271.1,604.6,470.3,1702.4,22.96,20.21,9.01,16.25,15.35,3374.7,2344.6,2982.4,7489.2,16190.8
Louisiana,317.3,266.3,2928.7,693.1,4205.3,23.48,20.16,5.94,13.89,9.12,3264.3,2487.7,11918.3,8747.4,26417.7
Maine,89.5,62.1,104.9,131.3,387.8,23.13,19.2,8.34,18.05,16.84,1466.3,809.9,643.2,2358.3,5277.7
Maryland,409.3,423,110.1,416.7,1359.3,26.61,21.37,11.49,18.23,20.17,5162.5,4163.9,917.4,7379.5,17623.3
Massachusetts,394.9,394.4,159.6,473.9,1422.8,24.9,24.55,17.63,17.15,20.67,6461.7,5312.5,1842,7915.5,21531.8
Michigan,713.8,593,702.2,742.7,2751.6,17.98,16.99,10.21,16.94,15.7,8380,5540.3,4402.2,12288.5,30611
Minnesota,370.3,349.1,619.3,468.2,1806.9,18.21,16,9.57,16.95,14.92,4079.9,3173.1,3357.8,7728.3,18339.1
Mississippi,190,154.3,384.7,437.3,1166.3,25.11,21.38,8.16,14.66,14.7,2271.4,1639.2,1793.7,6084.2,11788.5
Missouri,495,413.5,313.4,558.1,1780,22.29,19.34,11.27,16.49,17.18,5044,3510.5,2230.7,9085.1,19870.3
Montana,79.9,76.8,122.6,115.2,394.5,18.16,16.36,9.81,18.04,16.07,795.2,685.3,501.3,1991.7,3973.6
Nebraska,147.9,134.5,384.8,201.1,868.3,18.69,15.82,9.12,17.22,14.26,1390.6,1027.7,1793,3347.1,7558.4
Nevada,157.4,128.3,172.4,221,679.1,21.99,15.28,13.32,17.99,17.31,1908.2,1132.9,1343.9,3903,8288
New Hampshire,89.8,70.1,40.9,100.2,300.9,27.23,23.76,17.32,17.9,21.25,1539.9,919.6,441.9,1791.7,4693.1
New Jersey,543.2,568.8,256.6,850.7,2219.4,19.46,19.81,15.52,15.54,17.22,6844.4,6291.2,1837.8,13074.5,28047.8
New Mexico,113.3,123.3,223.6,207.5,667.8,18.72,17.46,14.25,16.84,16.85,1188.9,1066.9,842.5,3342.5,6440.8
New York,1035.2,1112.3,381.2,1132.8,3661.5,21.59,21.31,11.18,16.43,18.48,15532.7,13858.9,2840.4,17828.9,50060.9
North Carolina,691.3,582.3,557.6,722.7,2553.8,26.23,19.76,10.44,17.73,17.95,7721.7,5051.5,3793.5,12761,29327.7
North Dakota,67.5,85.2,310,123.8,586.4,18.79,17.53,7.11,17.63,12.28,623.5,695.1,1374.1,1895.3,4588
Ohio,866.7,700.5,1191.9,925.8,3684.8,19.47,16.94,9.73,17.26,15.51,9411.9,6098.2,6742.6,15582.7,37835.2
Oklahoma,283.8,253.4,615.8,482.9,1636,21.39,16.58,9.58,15.75,14.74,2967.2,2044,2949.1,6780.4,14740.7
Oregon,230,188.9,258.2,300.4,977.5,22.43,19.61,10.17,19.07,17.43,2559.9,1833.3,1765.4,5627.9,11786.4
Pennsylvania,884.9,639.2,1324.1,907.1,3755.3,22.43,16.83,10.51,18.03,16.65,11445.2,5738.2,7154.5,15405.9,39743.9
Rhode Island,57.6,46.8,23.3,58.4,186.2,25.26,26.16,14.54,18.05,21.2,1034.4,718.5,280.8,997.1,3030.8
South Carolina,369.1,279.6,527.2,477.4,1653.3,31.48,23.59,9.24,16.46,17.09,4357.9,2669.8,2863.2,7811.8,17702.7
South Dakota,65.9,62.3,154.1,100.9,383.2,20.44,18.33,8.65,17.38,15.02,678.3,538.2,677.6,1636,3530.2
Tennessee,528.1,452.8,591.1,639.3,2211.3,23.7,22.48,8.65,16.05,16.17,5025.7,4192.9,3111.3,10104.5,22434.4
Texas,1663.1,1607.7,6642.4,3270.2,13183.5,26.49,19.14,7.41,14.7,12.36,18586.2,13334.2,33084,46716.6,111721
Utah,163.7,163.6,221.6,261.1,810.1,16.39,16,11.22,17.17,15.71,1652.1,1392.8,1141.5,4254,8440.4
Vermont,36,25.4,17.7,49.5,128.7,25.24,20.35,17.36,18.41,20.4,763.9,444.2,269.8,909.6,2387.5
Virginia,577,611.8,442.1,701.1,2332,24.82,17.53,8.62,16.7,16.62,6468.2,4796,2633.4,11546.7,25444.3
Washington,441.1,363.1,554,700.1,2058.2,20.16,18.28,8.86,16.53,15.82,4335.3,3218.4,2363.5,11358.4,21275.6
West Virginia,159.3,113.4,310.9,182.7,766.2,22.52,17.09,10.89,18.3,16.38,1647.3,986.3,1581.7,2933.8,7149.1
Wisconsin,401.3,360.4,584.5,434.9,1781.1,18.88,17.56,10.41,17.78,15.81,4469.7,3329.1,3663.7,7661.6,19124.2
Wyoming,46.2,60.6,281.4,114.7,502.9,18.35,15.75,9.15,16.98,13.25,464.6,507.1,1303.7,1709.7,3985
United States,20050,17983.5,31452.7,27828.5,97314.7,22.99,20.18,8.97,16.69,15.92,238182.5,178834.7,170056.2,451430.7,1038504.2
